author,V1/LLM,V2,V3,R1,V3.2,V4,main_model_paper_count
Jian Liang,0,1,1,1,1,0,4
Jiaqi Ni,0,1,1,1,1,0,4
Jin Chen,0,1,1,1,1,0,4
Jingchang Chen,0,0,1,1,1,1,4
Junlong Li,0,0,1,1,1,1,4
Kuai Yu,0,0,1,1,1,1,4
Lei Xu,0,1,1,1,1,0,4
Leyi Xia,0,1,1,1,1,0,4
Litong Wang,0,0,1,1,1,1,4
Meng Li,0,1,1,1,1,0,4
Miaojun Wang,0,1,1,1,1,0,4
Mingming Li,0,1,1,1,1,0,4
Ning Tian,0,1,1,1,1,0,4
Peng Zhang,0,1,1,1,1,0,4
Qiancheng Wang,0,0,1,1,1,1,4
R. J. Chen,0,1,1,1,1,0,4
R. L. Jin,0,1,1,1,1,0,4
Ruisong Zhang,0,0,1,1,1,1,4
Runji Wang,0,0,1,1,1,1,4
Ruoyu Zhang,0,0,1,1,1,1,4
Ruyi Chen,0,1,1,1,1,0,4
S. S. Li,0,1,1,1,1,0,4
Shaoqing Wu,0,1,1,1,1,0,4
Shengfeng Ye,0,1,1,1,1,0,4
Shuang Zhou,0,1,1,1,1,0,4
Shuting Pan,0,0,1,1,1,1,4
T. Wang,0,1,1,1,1,0,4
Tao Yun,0,0,1,1,1,1,4
Tianyu Sun,0,1,1,1,1,0,4
W. L. Xiao,0,1,1,1,1,0,4
Wei An,0,1,1,1,1,0,4
X. Q. Li,0,1,1,1,1,0,4
Xiangyue Jin,0,1,1,1,1,0,4
Xianzu Wang,0,1,1,1,1,0,4
Xiaojin Shen,0,1,1,1,1,0,4
Xiaokang Zhang,0,0,1,1,1,1,4
Xiaosha Chen,0,1,1,1,1,0,4
Xiaowen Sun,0,1,1,1,1,0,4
Xiaoxiang Wang,0,1,1,1,1,0,4
Xin Cheng,0,0,1,1,1,1,4
Xingchao Liu,0,0,1,1,1,1,4
Xinnan Song,0,1,1,1,1,0,4
Xinyi Zhou,0,1,1,1,1,0,4
Xuheng Lin,0,0,1,1,1,1,4
Y. Q. Wang,0,0,1,1,1,1,4
Y. X. Zhu,0,1,1,1,1,0,4
Yang Zhang,0,0,1,1,1,1,4
Yanping Huang,0,1,1,1,1,0,4
Yaohui Li,0,1,1,1,1,0,4
Yi Yu,0,0,1,1,1,1,4
Yi Zheng,0,1,1,1,1,0,4
Yifan Shi,0,0,1,1,1,1,4
Ying Tang,0,1,1,1,1,0,4
Yisong Wang,0,0,1,1,1,1,4
Yiyang Ma,0,0,1,1,1,1,4
Yuan Ou,0,0,1,1,1,1,4
Yuchen Zhu,0,1,1,1,1,0,4
Yukun Zha,0,1,1,1,1,0,4
Yunfan Xiong,0,0,1,1,1,1,4
Yunxian Ma,0,1,1,1,1,0,4
Yuxiang Luo,0,0,1,1,1,1,4
Yuyang Zhou,0,0,1,1,1,1,4
Z. F. Wu,0,0,1,1,1,1,4
Z. Z. Ren,0,1,1,1,1,0,4
Zhean Xu,0,0,1,1,1,1,4
Zhen Huang,0,1,1,1,1,0,4
Zhen Zhang,0,1,1,1,1,0,4
Zhengyan Zhang,0,0,1,1,1,1,4
Zhibin Gou,0,0,1,1,1,1,4
Zhicheng Ma,0,0,1,1,1,1,4
Zhigang Yan,0,0,1,1,1,1,4
Zhipeng Xu,0,1,1,1,1,0,4
Zhiyu Wu,0,0,1,1,1,1,4
Zhongyu Zhang,0,1,1,1,1,0,4
Zijia Zhu,0,0,1,1,1,1,4
Ziyi Gao,0,0,1,1,1,1,4
Zizheng Pan,0,0,1,1,1,1,4
Huajian Xin,0,1,1,1,0,0,3
Kexin Huang,0,0,1,1,1,0,3
Xinyuan Li,0,0,1,1,1,0,3
Y. X. Wei,0,1,1,1,0,0,3
Yue Gong,0,0,1,1,1,0,3
Yuting Yan,0,1,1,1,0,0,3
Bangcai Lin,0,0,0,0,1,1,2
Bingzheng Xu,0,0,0,0,1,1,2
Bo Liu,1,1,0,0,0,0,2
Bowei Zhang,0,0,0,0,1,1,2
Chaofan Lin,0,0,0,0,1,1,2
Chen Dong,0,0,0,0,1,1,2
Chenhao Xu,0,0,0,0,1,1,2
Chenyu Zhang,0,0,1,1,0,0,2
Han Bao,0,0,1,1,0,0,2
Hao Li,0,0,0,0,1,1,2
Haocheng Wang,0,0,1,1,0,0,2
Haofen Liang,0,0,0,0,1,1,2
Haoran Wei,0,0,0,0,1,1,2
Haowen Luo,0,0,0,0,1,1,2
Haozhe Ji,0,0,0,0,1,1,2
Hongxuan Tang,0,0,0,0,1,1,2
Huanqi Cao,0,0,0,0,1,1,2
Hui Zeng,0,0,0,0,1,1,2
Jialiang Huang,0,0,0,0,1,1,2
Jiawei Wang,0,0,1,1,0,0,2
Jiaxin Xu,0,0,0,0,1,1,2
Jiewen Hu,0,0,0,0,1,1,2
Jingting Xiang,0,0,0,0,1,1,2
Jingyuan Cheng,0,0,0,0,1,1,2
Jinhua Zhu,0,0,0,0,1,1,2
Jun Ran,0,0,0,0,1,1,2
Junguang Jiang,0,0,0,0,1,1,2
Kai Hu,0,0,1,1,0,0,2
Kexing Zhou,0,0,0,0,1,1,2
Kezhao Huang,0,0,0,0,1,1,2
Lei Wang,0,0,0,0,1,1,2
Lihua Guo,0,0,0,0,1,1,2
Lingxiao Luo,0,0,0,0,1,1,2
Linwang Ma,0,0,0,0,1,1,2
M. S. Di,0,0,0,0,1,1,2
M. Y Xu,0,0,0,0,1,1,2
Mingxu Zhou,0,0,0,0,1,1,2
Peixin Cong,0,0,0,0,1,1,2
Qingyang Li,0,0,0,0,1,1,2
Ruiling Xu,0,0,0,0,1,1,2
Runqiu Yin,0,0,0,0,1,1,2
Ruomeng Shen,0,0,0,0,1,1,2
S. H. Liu,0,0,0,0,1,1,2
Shaofei Cai,0,0,0,0,1,1,2
Shaoyuan Chen,0,0,0,0,1,1,2
Shengding Hu,0,0,0,0,1,1,2
Shengyu Liu,0,0,0,0,1,1,2
Shiqiang Hu,0,0,0,0,1,1,2
Songyang Zhou,0,0,0,0,1,1,2
Tao Ni,0,0,0,0,1,1,2
Tian Ye,0,0,0,0,1,1,2
Tianyuan Yue,0,0,0,0,1,1,2
Wang Yongji,1,1,0,0,0,0,2
Wanjia Zhao,0,0,1,1,0,0,2
Wenjie Pang,0,0,0,0,1,1,2
Wenjing Luo,0,0,0,0,1,1,2
Wenqin Yu,0,0,1,1,0,0,2
Xi Gao,0,0,0,0,1,1,2
Xiangwen Wang,0,0,0,0,1,1,2
Xingyou Li,0,0,0,0,1,1,2
Xinxia Shan,0,0,1,1,0,0,2
Xu Chen,0,0,0,0,1,1,2
Xuwei Fu,0,0,0,0,1,1,2
Yanru Ma,0,0,0,0,1,1,2
Yi Qian,0,0,0,0,1,1,2
Yifan Ding,0,0,0,0,1,1,2
Ying Zhou,0,0,0,0,1,1,2
Yinmin Zhong,0,0,0,0,1,1,2
Yixiao Chen,0,0,0,0,1,1,2
Yixuan Wei,0,0,0,0,1,1,2
Yonglun Yang,0,0,0,0,1,1,2
Yongtong Wu,0,0,0,0,1,1,2
Yuan Cheng,0,0,0,0,1,1,2
Yuanfan Xu,0,0,0,0,1,1,2
Yuhan Wu,0,0,0,0,1,1,2
Yujia He,0,0,1,1,0,0,2
Zehua Zhao,0,0,0,0,1,1,2
Zhixian Huang,0,0,0,0,1,1,2
Zhuping Zhang,0,0,0,0,1,1,2
Zian Xu,0,0,0,0,1,1,2
Zihao Wang,0,0,0,0,1,1,2
Zijun Liu,0,0,1,1,0,0,2
Zipeng Zhang,0,0,0,0,1,1,2
Ziyang Song,0,0,1,1,0,0,2
Zongqing Yao,0,0,0,0,1,1,2
A. X. Liu,1,0,0,0,0,0,1
Anyi Xu,0,0,0,0,0,1,1
Aoxue Mei,0,0,0,0,1,0,1
B. Zhang,1,0,0,0,0,0,1
Chenze Shao,0,0,0,0,0,1,1
Conner Sun,0,0,0,0,0,1,1
Dong Yixin,0,1,0,0,0,0,1
Donghao Li,0,0,0,0,0,1,1
Fangqi Zhou,0,0,0,0,1,0,1
Fangzhou Yuan,0,0,0,0,0,1,1
Feiyu Xia,0,0,0,0,0,1,1
Guoai Cao,0,0,0,0,0,1,1
Guolai Meng,0,0,0,0,0,1,1
Han Yu,0,0,0,0,0,1,1
Han Zhang,0,0,0,0,0,1,1
Hao Yang,0,1,0,0,0,0,1
Haoling Zhang,0,0,0,0,0,1,1
Haoming Luo,0,0,0,0,0,1,1
Haotian Yuan,0,0,0,0,0,1,1
Haoyu Chen,0,0,0,0,0,1,1
Haoyu Lu,1,0,0,0,0,0,1
J. Q. Zhu,0,0,0,0,0,1,1
J. Yang,0,0,0,0,0,1,1
Jia Yu,0,0,0,0,0,1,1
Jiasheng Ye,0,0,0,0,0,1,1
Jin Yan,0,0,0,0,0,1,1
Jingli Zhou,0,0,0,0,0,1,1
Jingxiang Sun,1,0,0,0,0,0,1
Jiping Yu,0,0,0,0,0,1,1
Joseph Sun,0,0,0,0,0,1,1
Li Zhang,0,0,0,0,0,1,1
Liangsheng Yin,0,0,0,0,1,0,1
Liyu Cai,0,0,0,0,0,1,1
Longhao Chen,0,0,0,0,0,1,1
Max Mei,0,0,0,0,0,1,1
Qiwei Jiang,0,0,0,0,0,1,1
Rui Tian,0,0,0,0,0,1,1
Ruifan Xu,0,0,0,0,0,1,1
Ruijie Lu,0,0,0,0,0,1,1
Runqian Chen,0,0,0,0,0,1,1
Shangmian Sun,0,0,0,0,1,0,1
Shaoheng Nie,0,0,0,0,0,1,1
Shuying Yu,0,0,0,0,0,1,1
Tian Jin,0,0,0,0,0,1,1
Tianle Lin,0,0,0,0,0,1,1
Tianran Ji,0,0,0,0,0,1,1
Tianyi Cui,0,0,0,0,0,1,1
Tingting Yu,0,0,0,0,0,1,1
Tong Wu,1,0,0,0,0,0,1
Tongzheng Ren,1,0,0,0,0,0,1
Tun Wang,0,0,0,0,0,1,1
W. Zhang,0,0,0,0,0,1,1
Wang Bin,0,1,0,0,0,0,1
Wang Zihan,0,1,0,0,0,0,1
Weilin Zhao,0,0,0,0,0,1,1
Wen Zhiniu,0,1,0,0,0,0,1
Wenjie Hu,1,0,0,0,0,0,1
Wenjing Yao,0,0,0,0,0,1,1
Wenkai Yang,0,0,0,0,0,1,1
Wenlve Huang,0,0,0,0,0,1,1
Wenting Ma,0,0,0,0,0,1,1
Xiang He,0,0,0,0,0,1,1
Xingchen Liu,0,0,0,0,0,1,1
Xuan Lu,0,1,0,0,0,0,1
Xuanyu Wang,0,0,0,0,0,1,1
Xuehai Pan,0,0,0,0,1,0,1
Y. C. Yan,0,0,0,0,0,1,1
Y. W. Ma,0,0,0,0,0,1,1
Yanfeng Luo,0,0,0,0,0,1,1
Yanwen Huang,0,0,0,0,0,1,1
Yijia Wu,0,0,0,0,0,1,1
Yingjia Luo,0,0,0,0,0,1,1
Yixiang Zhang,0,0,0,0,0,1,1
Yuan Tian,0,1,0,0,0,0,1
Yuanhao Li,0,0,0,0,0,1,1
Yuhao Meng,0,0,0,0,0,1,1
Yupeng Chen,0,0,0,0,0,1,1
Yuqian Cao,0,0,0,0,0,1,1
Yuqian Wang,0,0,0,0,0,1,1
Yushun Zhang,0,0,0,0,0,1,1
Yutong Lin,0,0,0,0,0,1,1
Yuxian Gu,0,0,0,0,0,1,1
Yuxuan Zhou,0,0,0,0,0,1,1
Yuzhen Huang,0,0,0,0,0,1,1
Zehao Wang,0,0,0,0,0,1,1
Zekai Zhang,0,0,0,0,1,0,1
Zhao Yilong,0,1,0,0,0,0,1
Zhe Ju,0,0,0,0,1,0,1
Zheng Size,0,1,0,0,0,0,1
Zhixuan Chen,0,0,0,0,0,1,1
Zhizhou Ren,0,0,0,0,0,1,1
Zihua Qu,0,0,0,0,1,0,1
