raw_author_name,clean_author_name,occurrence_count,paper_ids,short_titles
M.Y Xu,M. Y Xu,1,V4-PDF,DeepSeek-V4
Li Meng,Meng Li,1,2405.04434,DeepSeek-V2
Wang Miaojun,Miaojun Wang,1,2405.04434,DeepSeek-V2
Zhang Mingchuan,Mingchuan Zhang,1,2405.04434,DeepSeek-V2
Zhang Minghua,Minghua Zhang,1,2405.04434,DeepSeek-V2
Tang Minghui,Minghui Tang,1,2405.04434,DeepSeek-V2
Li Mingming,Mingming Li,1,2405.04434,DeepSeek-V2
Tian Ning,Ning Tian,1,2405.04434,DeepSeek-V2
Huang Panpan,Panpan Huang,1,2405.04434,DeepSeek-V2
Wang Peiyi,Peiyi Wang,1,2405.04434,DeepSeek-V2
Zhang Peng,Peng Zhang,1,2405.04434,DeepSeek-V2
Zhu Qihao,Qihao Zhu,1,2405.04434,DeepSeek-V2
Chen Qinyu,Qinyu Chen,1,2405.04434,DeepSeek-V2
Du Qiushi,Qiushi Du,1,2405.04434,DeepSeek-V2
Chen R. J.,R. J. Chen,1,2405.04434,DeepSeek-V2
Jin R. L.,R. L. Jin,1,2405.04434,DeepSeek-V2
Ge Ruiqi,Ruiqi Ge,1,2405.04434,DeepSeek-V2
Pan Ruizhe,Ruizhe Pan,1,2405.04434,DeepSeek-V2
R. X. Xu,Runxin Xu,2,2401.02954；2401.06066,DeepSeek LLM；DeepSeekMoE
Xu Runxin,Runxin Xu,1,2405.04434,DeepSeek-V2
Chen Ruyi,Ruyi Chen,1,2405.04434,DeepSeek-V2
S.H. Liu,S. H. Liu,1,V4-PDF,DeepSeek-V4
Li S. S.,S. S. Li,1,2405.04434,DeepSeek-V2
Lu Shanghao,Shanghao Lu,1,2405.04434,DeepSeek-V2
Zhou Shangyan,Shangyan Zhou,1,2405.04434,DeepSeek-V2
Chen Shanhuang,Shanhuang Chen,1,2405.04434,DeepSeek-V2
Wu Shaoqing,Shaoqing Wu,1,2405.04434,DeepSeek-V2
Ye Shengfeng,Shengfeng Ye,1,2405.04434,DeepSeek-V2
Ma Shirong,Shirong Ma,1,2405.04434,DeepSeek-V2
Wang Shiyu,Shiyu Wang,1,2405.04434,DeepSeek-V2
Zhou Shuang,Shuang Zhou,1,2405.04434,DeepSeek-V2
Yu Shuiping,Shuiping Yu,1,2405.04434,DeepSeek-V2
Zhou Shunfeng,Shunfeng Zhou,1,2405.04434,DeepSeek-V2
Wang T.,T. Wang,1,2405.04434,DeepSeek-V2
Pei Tian,Tian Pei,1,2405.04434,DeepSeek-V2
Sun Tianyu,Tianyu Sun,1,2405.04434,DeepSeek-V2
W.L. Xiao,W. L. Xiao,1,V4-PDF,DeepSeek-V4
Xiao W. L.,W. L. Xiao,1,2405.04434,DeepSeek-V2
Yongji Wang,Wang Yongji,1,2401.02954,DeepSeek LLM
Zihan Wang,Wang Zihan,1,2407.01906,ESFT
Zeng Wangding,Wangding Zeng,1,2405.04434,DeepSeek-V2
An Wei,Wei An,1,2405.04434,DeepSeek-V2
Liu Wen,Wen Liu,1,2405.04434,DeepSeek-V2
Liang Wenfeng,Wenfeng Liang,1,2405.04434,DeepSeek-V2
Gao Wenjun,Wenjun Gao,1,2405.04434,DeepSeek-V2
Zhang Wentao,Wentao Zhang,1,2405.04434,DeepSeek-V2
Li X. Q.,X. Q. Li,1,2405.04434,DeepSeek-V2
Jin Xiangyue,Xiangyue Jin,1,2405.04434,DeepSeek-V2
Wang Xianzu,Xianzu Wang,1,2405.04434,DeepSeek-V2
Bi Xiao,Xiao Bi,1,2405.04434,DeepSeek-V2
Liu Xiaodong,Xiaodong Liu,1,2405.04434,DeepSeek-V2
Wang Xiaohan,Xiaohan Wang,1,2405.04434,DeepSeek-V2
Shen Xiaojin,Xiaojin Shen,1,2405.04434,DeepSeek-V2
Chen Xiaokang,Xiaokang Chen,1,2405.04434,DeepSeek-V2
Chen Xiaosha,Xiaosha Chen,1,2405.04434,DeepSeek-V2
Nie Xiaotao,Xiaotao Nie,1,2405.04434,DeepSeek-V2
Sun Xiaowen,Xiaowen Sun,1,2405.04434,DeepSeek-V2
Wang Xiaoxiang,Xiaoxiang Wang,1,2405.04434,DeepSeek-V2
Liu Xin,Xin Liu,1,2405.04434,DeepSeek-V2
Xie Xin,Xin Xie,1,2405.04434,DeepSeek-V2
Yu Xingkai,Xingkai Yu,1,2405.04434,DeepSeek-V2
Song Xinnan,Xinnan Song,1,2405.04434,DeepSeek-V2
Zhou Xinyi,Xinyi Zhou,1,2405.04434,DeepSeek-V2
Yang Xinyu,Xinyu Yang,1,2405.04434,DeepSeek-V2
Lu Xuan,Xuan Lu,1,2405.04434,DeepSeek-V2
Su Xuecheng,Xuecheng Su,1,2405.04434,DeepSeek-V2
Y.C. Yan,Y. C. Yan,1,V4-PDF,DeepSeek-V4
Y.Q. Wang*,Y. Q. Wang,1,V4-PDF,DeepSeek-V4
Y.W. Ma,Y. W. Ma,1,V4-PDF,DeepSeek-V4
Wei Y. X.,Y. X. Wei,1,2405.04434,DeepSeek-V2
Zhu Y. X.,Y. X. Zhu,1,2405.04434,DeepSeek-V2
Xu Yanhong,Yanhong Xu,1,2405.04434,DeepSeek-V2
Huang Yanping,Yanping Huang,1,2405.04434,DeepSeek-V2
Li Yao,Yao Li,1,2405.04434,DeepSeek-V2
Zhao Yao,Yao Zhao,1,2405.04434,DeepSeek-V2
Sun Yaofeng,Yaofeng Sun,1,2405.04434,DeepSeek-V2
Li Yaohui,Yaohui Li,1,2405.04434,DeepSeek-V2
Wang Yaohui,Yaohui Wang,1,2405.04434,DeepSeek-V2
Zheng Yi,Yi Zheng,1,2405.04434,DeepSeek-V2
Zhang Yichao,Yichao Zhang,1,2405.04434,DeepSeek-V2
Xiong Yiliang,Yiliang Xiong,1,2405.04434,DeepSeek-V2
He Ying,Ying He,1,2405.04434,DeepSeek-V2
Tang Ying,Ying Tang,1,2405.04434,DeepSeek-V2
Piao Yishi,Yishi Piao,1,2405.04434,DeepSeek-V2
Tan Yixuan,Yixuan Tan,1,2405.04434,DeepSeek-V2
Liu Yiyuan,Yiyuan Liu,1,2405.04434,DeepSeek-V2
Guo Yongqiang,Yongqiang Guo,1,2405.04434,DeepSeek-V2
Wu Y.,Yu Wu,1,2405.04434,DeepSeek-V2
Y. Wu,Yu Wu,6,2401.02954；2401.06066；2401.14196；2402.03300；2406.11931；2407.01906,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath；DeepSeekMoE；ESFT
Zhu Yuchen,Yuchen Zhu,1,2405.04434,DeepSeek-V2
Wang Yuduan,Yuduan Wang,1,2405.04434,DeepSeek-V2
Zou Yuheng,Yuheng Zou,1,2405.04434,DeepSeek-V2
Li Y. K.,Yukun Li,1,2405.04434,DeepSeek-V2
Y. K. Li,Yukun Li,6,2401.02954；2401.06066；2401.14196；2402.03300；2412.19437；2501.12948,DeepSeek LLM；DeepSeek-Coder；DeepSeek-R1；DeepSeek-V3 Technical Report；DeepSeekMath；DeepSeekMoE
YuKun Li,Yukun Li,1,V4-PDF,DeepSeek-V4
Zha Yukun,Yukun Zha,1,2405.04434,DeepSeek-V2
Ma Yunxian,Yunxian Ma,1,2405.04434,DeepSeek-V2
Yan Yuting,Yuting Yan,1,2405.04434,DeepSeek-V2
You Yuxiang,Yuxiang You,1,2405.04434,DeepSeek-V2
Liu Yuxuan,Yuxuan Liu,1,2405.04434,DeepSeek-V2
Z.F. Wu,Z. F. Wu,1,V4-PDF,DeepSeek-V4
Ren Z. Z.,Z. Z. Ren,1,2405.04434,DeepSeek-V2
Ren Zehui,Zehui Ren,1,2405.04434,DeepSeek-V2
Sha Zhangli,Zhangli Sha,1,2405.04434,DeepSeek-V2
Fu Zhe,Zhe Fu,1,2405.04434,DeepSeek-V2
Huang Zhen,Zhen Huang,1,2405.04434,DeepSeek-V2
Zhang Zhen,Zhen Zhang,1,2405.04434,DeepSeek-V2
Xie Zhenda,Zhenda Xie,1,2405.04434,DeepSeek-V2
Hao Zhewen,Zhewen Hao,1,2405.04434,DeepSeek-V2
Shao Zhihong,Zhihong Shao,1,2405.04434,DeepSeek-V2
Xu Zhipeng,Zhipeng Xu,1,2405.04434,DeepSeek-V2
Zhang Zhongyu,Zhongyu Zhang,1,2405.04434,DeepSeek-V2
Li Zhuoshu,Zhuoshu Li,1,2405.04434,DeepSeek-V2
Gu Zihui,Zihui Gu,1,2405.04434,DeepSeek-V2
Li Zilin,Zilin Li,1,2405.04434,DeepSeek-V2
Zipeng Zhang*,Zipeng Zhang,1,V4-PDF,DeepSeek-V4
Xie Ziwei,Ziwei Xie,1,2405.04434,DeepSeek-V2
