author,paper_count,topic_count,主模型,代码,数学/证明,多模态,OCR,系统/效率,推理/RL
Yuxuan Liu,8,4,4,0,1,0,0,2,1
Zhewen Hao,8,4,5,1,0,0,0,1,1
Zhibin Gou,8,4,3,1,3,0,0,0,1
Guanting Chen,7,3,5,1,0,0,0,0,1
Jingyang Yuan,7,3,4,0,0,0,0,2,1
Lean Wang,7,3,4,0,0,0,0,2,1
Mingchuan Zhang,7,3,5,0,1,0,0,0,1
Qinyu Chen,7,4,4,1,0,0,0,1,1
Shunfeng Zhou,7,3,5,0,0,0,0,1,1
Xingchao Liu,7,3,3,0,0,3,0,0,1
Yaohui Wang,7,3,5,1,0,0,0,0,1
Ying He,7,3,5,0,0,0,0,1,1
Z. Z. Ren,7,3,3,0,3,0,0,0,1
Zhe Fu,7,3,5,0,1,0,0,0,1
Zhiyu Wu,7,3,3,0,0,3,0,0,1
Zhuoshu Li,7,4,4,0,0,1,0,1,1
Zizheng Pan,7,3,3,0,0,3,0,0,1
Aixin Liu,6,4,3,1,0,1,0,0,1
Erhang Li,6,2,5,0,0,0,0,0,1
Fangyun Lin,6,2,5,0,0,0,0,0,1
Guangbo Hao,6,2,5,0,0,0,0,0,1
Guowei Li,6,2,5,0,0,0,0,0,1
Honghui Ding,6,2,5,0,0,0,0,0,1
Huajian Xin,6,3,2,0,3,0,0,0,1
Hui Qu,6,2,5,0,0,0,0,0,1
Junjie Qiu,6,2,5,0,0,0,0,0,1
Kaige Gao,6,2,5,0,0,0,0,0,1
Lecong Zhang,6,2,5,0,0,0,0,0,1
Minghua Zhang,6,2,5,0,0,0,0,0,1
Minghui Tang,6,2,5,0,0,0,0,0,1
Ruiqi Ge,6,2,5,0,0,0,0,0,1
Shanghao Lu,6,2,5,0,0,0,0,0,1
Shanhuang Chen,6,2,5,0,0,0,0,0,1
Shiyu Wang,6,2,5,0,0,0,0,0,1
Shuiping Yu,6,2,5,0,0,0,0,0,1
Tian Pei,6,2,5,0,0,0,0,0,1
Xiaodong Liu,6,2,5,0,0,0,0,0,1
Xiaotao Nie,6,2,5,0,0,0,0,0,1
Xin Liu,6,2,5,0,0,0,0,0,1
Xuecheng Su,6,2,5,0,0,0,0,0,1
Yanhong Xu,6,2,5,0,0,0,0,0,1
Yao Li,6,2,5,0,0,0,0,0,1
Yao Zhao,6,2,5,0,0,0,0,0,1
Yichao Zhang,6,2,5,0,0,0,0,0,1
Yiliang Xiong,6,2,5,0,0,0,0,0,1
Yixuan Tan,6,3,4,0,0,0,0,1,1
Yiyang Ma,6,3,3,0,0,2,0,0,1
Yiyuan Liu,6,2,5,0,0,0,0,0,1
Yuheng Zou,6,2,5,0,0,0,0,0,1
Z. F. Wu,6,3,3,0,2,0,0,0,1
Zehui Ren,6,2,5,0,0,0,0,0,1
Zhangli Sha,6,2,5,0,0,0,0,0,1
Zhengyan Zhang,6,3,3,0,0,0,0,2,1
Zihui Gu,6,3,4,1,0,0,0,0,1
Ziwei Xie,6,2,5,0,0,0,0,0,1
Bo Liu,5,3,2,0,2,1,0,0,0
Chengda Lu,5,3,3,0,1,0,0,0,1
Dongjie Ji,5,2,4,0,0,0,0,0,1
Jian Liang,5,2,4,0,0,0,0,0,1
Jianzhong Guo,5,2,4,0,0,0,0,0,1
Jin Chen,5,2,4,0,0,0,0,0,1
Kuai Yu,5,3,3,0,0,0,0,1,1
Leyi Xia,5,2,4,0,0,0,0,0,1
Miaojun Wang,5,2,4,0,0,0,0,0,1
Mingming Li,5,2,4,0,0,0,0,0,1
Peng Zhang,5,2,4,0,0,0,0,0,1
Ruizhe Pan,5,2,4,0,0,0,0,0,1
Ruyi Chen,5,2,4,0,0,0,0,0,1
Shaoqing Wu,5,2,4,0,0,0,0,0,1
W. L. Xiao,5,2,4,0,0,0,0,0,1
Wei An,5,2,4,0,0,0,0,0,1
Xianzu Wang,5,2,4,0,0,0,0,0,1
Xiaohan Wang,5,2,4,0,0,0,0,0,1
Xiaokang Zhang,5,3,3,0,1,0,0,0,1
Xiaowen Sun,5,2,4,0,0,0,0,0,1
Xiaoxiang Wang,5,2,4,0,0,0,0,0,1
Xin Cheng,5,3,3,0,0,0,0,1,1
Xinyu Yang,5,2,4,0,0,0,0,0,1
Y. X. Wei,5,3,2,0,0,0,0,2,1
Ying Tang,5,2,4,0,0,0,0,0,1
Yisong Wang,5,3,3,0,0,1,0,0,1
Yongqiang Guo,5,2,4,0,0,0,0,0,1
Yuduan Wang,5,2,4,0,0,0,0,0,1
Yukun Zha,5,2,4,0,0,0,0,0,1
Yuxiang Luo,5,3,3,0,1,0,0,0,1
Zhean Xu,5,3,3,0,0,0,0,1,1
Zilin Li,5,2,4,0,0,0,0,0,1
Bei Feng,4,2,3,0,0,0,0,0,1
Bing Xue,4,2,3,0,0,0,0,0,1
Bochao Wu,4,2,3,0,0,0,0,0,1
Fucong Dai,4,2,3,0,0,0,0,0,1
H. Zhang,4,2,3,0,0,0,0,0,1
Haocheng Wang,4,3,1,0,2,0,0,0,1
Haoran Wei,4,2,2,0,0,0,2,0,0
Hui Li,4,2,3,0,0,0,0,0,1
J. L. Cai,4,2,3,0,0,0,0,0,1
Jiaqi Ni,4,2,3,0,0,0,0,0,1
Jingchang Chen,4,2,3,0,0,0,0,0,1
Junlong Li,4,2,3,0,0,0,0,0,1
Lei Xu,4,2,3,0,0,0,0,0,1
Litong Wang,4,2,3,0,0,0,0,0,1
Meng Li,4,2,3,0,0,0,0,0,1
Ning Tian,4,2,3,0,0,0,0,0,1
Qiancheng Wang,4,2,3,0,0,0,0,0,1
R. J. Chen,4,2,3,0,0,0,0,0,1
R. L. Jin,4,2,3,0,0,0,0,0,1
Ruisong Zhang,4,2,3,0,0,0,0,0,1
Runji Wang,4,2,3,0,0,0,0,0,1
Ruoyu Zhang,4,2,3,0,0,0,0,0,1
S. S. Li,4,2,3,0,0,0,0,0,1
Shengfeng Ye,4,2,3,0,0,0,0,0,1
Shuang Zhou,4,2,3,0,0,0,0,0,1
Shuting Pan,4,2,3,0,0,0,0,0,1
T. Wang,4,2,3,0,0,0,0,0,1
Tao Yun,4,2,3,0,0,0,0,0,1
Tianyu Sun,4,2,3,0,0,0,0,0,1
Wanjia Zhao,4,3,1,0,2,0,0,0,1
X. Q. Li,4,2,3,0,0,0,0,0,1
Xiangyue Jin,4,2,3,0,0,0,0,0,1
Xiaojin Shen,4,2,3,0,0,0,0,0,1
Xiaosha Chen,4,2,3,0,0,0,0,0,1
Xinnan Song,4,2,3,0,0,0,0,0,1
Xinyi Zhou,4,2,3,0,0,0,0,0,1
Xuheng Lin,4,2,3,0,0,0,0,0,1
Y. Q. Wang,4,2,3,0,0,0,0,0,1
Y. X. Zhu,4,2,3,0,0,0,0,0,1
Yang Zhang,4,2,3,0,0,0,0,0,1
Yanping Huang,4,2,3,0,0,0,0,0,1
Yaohui Li,4,2,3,0,0,0,0,0,1
Yi Yu,4,2,3,0,0,0,0,0,1
Yi Zheng,4,2,3,0,0,0,0,0,1
Yifan Shi,4,2,3,0,0,0,0,0,1
Yuan Ou,4,2,3,0,0,0,0,0,1
Yuchen Zhu,4,2,3,0,0,0,0,0,1
Yunfan Xiong,4,2,3,0,0,0,0,0,1
Yunxian Ma,4,2,3,0,0,0,0,0,1
Yuting Yan,4,2,3,0,0,0,0,0,1
Yuyang Zhou,4,2,3,0,0,0,0,0,1
Zhen Huang,4,2,3,0,0,0,0,0,1
Zhen Zhang,4,2,3,0,0,0,0,0,1
Zhicheng Ma,4,2,3,0,0,0,0,0,1
Zhigang Yan,4,2,3,0,0,0,0,0,1
Zhipeng Xu,4,2,3,0,0,0,0,0,1
Zhongyu Zhang,4,2,3,0,0,0,0,0,1
Zijia Zhu,4,2,3,0,0,0,0,0,1
Ziyi Gao,4,2,3,0,0,0,0,0,1
