source,target,weight_shared_papers,topics,papers
Chengqi Deng,Damai Dai,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chengqi Deng,Huazuo Gao,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chengqi Deng,Jiashi Li,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chengqi Deng,Wenfeng Liang,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chengqi Deng,Zhenda Xie,5,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeekMoE；mHC
Chong Ruan,Liyue Zhang,5,主模型、代码、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；Insights into DeepSeek-V3
Chong Ruan,Qihao Zhu,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Shirong Ma,5,主模型、代码、推理/RL、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2；Generalist Reward Modeling；Insights into DeepSeek-V3
Chong Ruan,Wen Liu,5,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2；Janus；Janus-Pro
Chong Ruan,Wenfeng Liang,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention
Chong Ruan,Xingkai Yu,5,主模型、多模态、系统/效率,DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE；Janus；Janus-Pro
Chong Ruan,Yu Wu,5,主模型、代码、多模态、推理/RL、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Generalist Reward Modeling
Chong Ruan,Zhihong Shao,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Damai Dai,Jiashi Li,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Damai Dai,Wangding Zeng,5,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention；mHC
Damai Dai,Yu Wu,5,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；ESFT
Damai Dai,Yukun Li,5,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Daya Guo,Zhihong Shao,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V2；DeepSeekMath
Dejian Yang,Qihao Zhu,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huazuo Gao,Jiashi Li,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Jiashi Li,Wenfeng Liang,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Junxiao Song,Qihao Zhu,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath
Junxiao Song,Zhihong Shao,5,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath
Kai Dong,Zhenda Xie,5,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2
Wangding Zeng,Wenfeng Liang,5,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention；mHC
Wangding Zeng,Zhenda Xie,5,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention；mHC
Wen Liu,Zhenda Xie,5,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2；Janus；Janus-Pro
Wenfeng Liang,Yukun Li,5,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Yu Wu,Zhenda Xie,5,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Bingxuan Wang,Chong Ruan,4,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2
Bingxuan Wang,Damai Dai,4,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Kai Dong,4,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2
Bingxuan Wang,Yukun Li,4,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bo Liu,Chong Ruan,4,主模型、多模态、数学/证明,DeepSeek LLM；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-VL
Chenggang Zhao,Chong Ruan,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3
Chenggang Zhao,Zhenda Xie,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；mHC
Chong Ruan,Daya Guo,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V2
Chong Ruan,Dejian Yang,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Fuli Luo,4,主模型、代码、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeekMoE
Chong Ruan,Jiashi Li,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3
Chong Ruan,Junxiao Song,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Kai Dong,4,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2
Chong Ruan,Runxin Xu,4,主模型、代码、推理/RL、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Generalist Reward Modeling
Chong Ruan,Wenjun Gao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Yukun Li,4,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Damai Dai,Deli Chen,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；ESFT
Damai Dai,Runxin Xu,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；ESFT
Damai Dai,Xingkai Yu,4,主模型、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE
Daya Guo,Dejian Yang,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Daya Guo,Junxiao Song,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2；DeepSeekMath
Daya Guo,Xiao Bi,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Daya Guo,Yu Wu,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Daya Guo,Yukun Li,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Dejian Yang,Fuli Luo,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Dejian Yang,Junxiao Song,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Liyue Zhang,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Wenjun Gao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Dejian Yang,Zhihong Shao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Deli Chen,Runxin Xu,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；ESFT
Deli Chen,Yu Wu,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；ESFT
Fuli Luo,Qihao Zhu,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Wenfeng Liang,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Yu Wu,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Yukun Li,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Zhenda Xie,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Huazuo Gao,Wangding Zeng,4,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention；mHC
Huazuo Gao,Yu Wu,4,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Huazuo Gao,Yukun Li,4,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Jiashi Li,Zhenda Xie,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；mHC
Junxiao Song,Liyue Zhang,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Junxiao Song,Wenjun Gao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Kai Dong,Yu Wu,4,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL2
Kai Dong,Yukun Li,4,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL2
Liyue Zhang,Qihao Zhu,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Liyue Zhang,Shirong Ma,4,主模型、代码、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2；Insights into DeepSeek-V3
Liyue Zhang,Wenjun Gao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Liyue Zhang,Zhihong Shao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Peiyi Wang,Runxin Xu,4,主模型、代码、推理/RL、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath；Generalist Reward Modeling
Peiyi Wang,Yu Wu,4,主模型、代码、推理/RL、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath；Generalist Reward Modeling
Qihao Zhu,Wenjun Gao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Qihao Zhu,Xiao Bi,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Qihao Zhu,Yu Wu,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Qihao Zhu,Yukun Li,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Runxin Xu,Yukun Li,4,主模型、代码、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath；DeepSeekMoE
Shirong Ma,Zhihong Shao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2；DeepSeekMath-V2
Wen Liu,Xingkai Yu,4,主模型、多模态,DeepSeek LLM；DeepSeek-VL2；Janus；Janus-Pro
Wenfeng Liang,Yu Wu,4,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE
Wenjun Gao,Zhihong Shao,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Xiao Bi,Yu Wu,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Xiao Bi,Yukun Li,4,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMath
Xingkai Yu,Yukun Li,4,主模型、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE
Yaofeng Sun,Yukun Li,4,OCR、主模型、多模态,DeepSeek LLM；DeepSeek-OCR；DeepSeek-OCR 2；DeepSeek-VL2
Zhibin Gou,Zhihong Shao,4,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath-V2
Bingxuan Wang,Chengqi Deng,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Bingxuan Wang,Hanwei Xu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Bingxuan Wang,Huazuo Gao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Kang Guan,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Wen Liu,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Bingxuan Wang,Wenfeng Liang,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Xingkai Yu,3,主模型、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-VL2
Bingxuan Wang,Yaofeng Sun,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Bingxuan Wang,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Yu Wu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Zhewen Hao,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Bo Liu,Qihao Zhu,3,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover；DeepSeek-Prover-V1.5
Bo Liu,Zhihong Shao,3,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover；DeepSeek-Prover-V1.5
Chenggang Zhao,Deli Chen,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chenggang Zhao,Fuli Luo,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chenggang Zhao,Liyue Zhang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Chenggang Zhao,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Chenggang Zhao,Runxin Xu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chenggang Zhao,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Shirong Ma,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Chenggang Zhao,Wangding Zeng,3,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE；mHC
Chenggang Zhao,Yu Wu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chenggang Zhao,Yukun Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chengqi Deng,Deli Chen,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chengqi Deng,Fuli Luo,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chengqi Deng,Hanwei Xu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Chengqi Deng,Kai Dong,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Chengqi Deng,Liyue Zhang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Chengqi Deng,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Chengqi Deng,Runxin Xu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chengqi Deng,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Chengqi Deng,Shirong Ma,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Chengqi Deng,Wangding Zeng,3,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE；mHC
Chengqi Deng,Yu Wu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chengqi Deng,Yukun Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chong Ruan,Deli Chen,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Chong Ruan,Hanwei Xu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Chong Ruan,Huajian Xin,3,数学/证明,DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Kang Guan,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Chong Ruan,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Chong Ruan,Peiyi Wang,3,主模型、代码、推理/RL,DeepSeek LLM；DeepSeek-Coder-V2；Generalist Reward Modeling
Chong Ruan,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Chong Ruan,Wangding Zeng,3,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention
Chong Ruan,Xiaokang Chen,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Chong Ruan,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Chong Ruan,Xingchao Liu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Chong Ruan,Yaofeng Sun,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Chong Ruan,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Chong Ruan,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Chong Ruan,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Chong Ruan,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Chong Ruan,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Damai Dai,Fuli Luo,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Damai Dai,Kai Dong,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Damai Dai,Kang Guan,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Damai Dai,Liang Zhao,3,多模态、系统/效率,DeepSeek-VL2；Native Sparse Attention；mHC
Damai Dai,Liyue Zhang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Damai Dai,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Damai Dai,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Damai Dai,Shirong Ma,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Damai Dai,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Damai Dai,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Damai Dai,Yuqing Wang,3,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention；mHC
Damai Dai,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Damai Dai,Zhewen Hao,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Daya Guo,Fuli Luo,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
