author,paper_count,topic_count,first_seen,last_seen,topics,主模型,系统/效率,多模态,数学/证明,代码,推理/RL,OCR
Bing Xue,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Bochao Wu,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Fucong Dai,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
H. Zhang,4,2,2024-05,2025-12,主模型、推理/RL,3,0,0,0,0,1,0
Haoran Wei,4,2,2025-10,2026-05,主模型、OCR,2,0,0,0,0,0,2
Jianzhong Guo,4,2,2024-01,2025-01,主模型、推理/RL,3,0,0,0,0,1,0
Jingchang Chen,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Junlong Li,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Litong Wang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Qiancheng Wang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Ruisong Zhang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Runji Wang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Ruoyu Zhang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Shuting Pan,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Tao Yun,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Xuheng Lin,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Y. Q. Wang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yang Zhang,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yi Yu,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yifan Shi,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yuan Ou,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yunfan Xiong,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Yuyang Zhou,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Zhicheng Ma,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Zhigang Yan,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Zijia Zhu,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
Ziyi Gao,4,2,2024-12,2026-05,主模型、推理/RL,3,0,0,0,0,1,0
