author_name,paper_count,direction_count,directions,is_highlighted
Z. Z. Ren,7,3,基座模型、数学、推理/RL,False
Zhe Fu,7,3,基座模型、数学、推理/RL,False
Zhiyu Wu,7,3,基座模型、多模态、推理/RL,False
Zizheng Pan,7,3,基座模型、多模态、推理/RL,False
Huajian Xin,6,3,基座模型、数学、推理/RL,False
Yixuan Tan,6,3,基座模型、系统、推理/RL,False
Yiyang Ma,6,3,基座模型、多模态、推理/RL,False
Z. F. Wu,6,3,基座模型、数学、推理/RL,False
Zhengyan Zhang,6,3,基座模型、系统、推理/RL,False
Zihui Gu,6,3,基座模型、代码、推理/RL,False
Bo Liu,5,3,基座模型、数学、多模态,False
Chengda Lu,5,3,基座模型、数学、推理/RL,False
Kuai Yu,5,3,基座模型、系统、推理/RL,False
Xiaokang Zhang,5,3,基座模型、数学、推理/RL,False
Xin Cheng,5,3,基座模型、系统、推理/RL,False
Y. X. Wei,5,3,基座模型、系统、推理/RL,False
Yisong Wang,5,3,基座模型、多模态、推理/RL,False
Yuxiang Luo,5,3,基座模型、数学、推理/RL,False
Zhean Xu,5,3,基座模型、系统、推理/RL,False
Haocheng Wang,4,3,基座模型、数学、推理/RL,False
Wanjia Zhao,4,3,基座模型、数学、推理/RL,False
Jiawei Wang,3,3,基座模型、多模态、推理/RL,False
Kai Hu,3,3,基座模型、多模态、推理/RL,False
Xuan Lu,3,3,基座模型、数学、代码,False
Erhang Li,6,2,基座模型、推理/RL,False
Fangyun Lin,6,2,基座模型、推理/RL,False
Guangbo Hao,6,2,基座模型、推理/RL,False
Guowei Li,6,2,基座模型、推理/RL,False
Honghui Ding,6,2,基座模型、推理/RL,False
Hui Qu,6,2,基座模型、推理/RL,False
Junjie Qiu,6,2,基座模型、推理/RL,False
Kaige Gao,6,2,基座模型、推理/RL,False
Lecong Zhang,6,2,基座模型、推理/RL,False
Minghua Zhang,6,2,基座模型、推理/RL,False
Minghui Tang,6,2,基座模型、推理/RL,False
Ruiqi Ge,6,2,基座模型、推理/RL,False
Shanghao Lu,6,2,基座模型、推理/RL,False
Shanhuang Chen,6,2,基座模型、推理/RL,False
Shiyu Wang,6,2,基座模型、推理/RL,False
Shuiping Yu,6,2,基座模型、推理/RL,False
Tian Pei,6,2,基座模型、推理/RL,False
Xiaodong Liu,6,2,基座模型、推理/RL,False
Xiaotao Nie,6,2,基座模型、推理/RL,False
Xin Liu,6,2,基座模型、推理/RL,False
Xuecheng Su,6,2,基座模型、推理/RL,False
Yanhong Xu,6,2,基座模型、推理/RL,False
Yao Li,6,2,基座模型、推理/RL,False
Yao Zhao,6,2,基座模型、推理/RL,False
Yichao Zhang,6,2,基座模型、推理/RL,False
Yiliang Xiong,6,2,基座模型、推理/RL,False
Yiyuan Liu,6,2,基座模型、推理/RL,False
Yuheng Zou,6,2,基座模型、推理/RL,False
Zehui Ren,6,2,基座模型、推理/RL,False
Zhangli Sha,6,2,基座模型、推理/RL,False
Ziwei Xie,6,2,基座模型、推理/RL,False
Ruizhe Pan,5,2,基座模型、推理/RL,False
Xiaohan Wang,5,2,基座模型、推理/RL,False
Xinyu Yang,5,2,基座模型、推理/RL,False
Yongqiang Guo,5,2,基座模型、推理/RL,False
Yuduan Wang,5,2,基座模型、推理/RL,False
Zilin Li,5,2,基座模型、推理/RL,False
Bing Xue,4,2,基座模型、推理/RL,False
Bochao Wu,4,2,基座模型、推理/RL,False
Fucong Dai,4,2,基座模型、推理/RL,False
H. Zhang,4,2,基座模型、推理/RL,False
Haoran Wei,4,2,基座模型、OCR,False
Jianzhong Guo,4,2,基座模型、推理/RL,False
Jingchang Chen,4,2,基座模型、推理/RL,False
Junlong Li,4,2,基座模型、推理/RL,False
Litong Wang,4,2,基座模型、推理/RL,False
Qiancheng Wang,4,2,基座模型、推理/RL,False
Ruisong Zhang,4,2,基座模型、推理/RL,False
Runji Wang,4,2,基座模型、推理/RL,False
Ruoyu Zhang,4,2,基座模型、推理/RL,False
Shuting Pan,4,2,基座模型、推理/RL,False
Tao Yun,4,2,基座模型、推理/RL,False
Xuheng Lin,4,2,基座模型、推理/RL,False
Y. Q. Wang,4,2,基座模型、推理/RL,False
Yang Zhang,4,2,基座模型、推理/RL,False
Yi Yu,4,2,基座模型、推理/RL,False
Yifan Shi,4,2,基座模型、推理/RL,False
Yuan Ou,4,2,基座模型、推理/RL,False
Yunfan Xiong,4,2,基座模型、推理/RL,False
Yuyang Zhou,4,2,基座模型、推理/RL,False
Zhicheng Ma,4,2,基座模型、推理/RL,False
Zhigang Yan,4,2,基座模型、推理/RL,False
Zijia Zhu,4,2,基座模型、推理/RL,False
Ziyi Gao,4,2,基座模型、推理/RL,False
Hongxuan Tang,3,2,基座模型、数学,False
Huanqi Cao,3,2,基座模型、系统,False
Jiewen Hu,3,2,基座模型、数学,False
Kexin Huang,3,2,基座模型、推理/RL,False
Kezhao Huang,3,2,基座模型、系统,False
Shaoyuan Chen,3,2,基座模型、系统,False
Shengding Hu,3,2,基座模型、系统,False
Shengfeng Ye,3,2,基座模型、推理/RL,False
Tian Ye,3,2,基座模型、数学,False
Xinyuan Li,3,2,基座模型、推理/RL,False
Yinmin Zhong,3,2,基座模型、系统,False
Yixuan Wei,3,2,基座模型、系统,False
Yongtong Wu,3,2,基座模型、系统,False
Yue Gong,3,2,基座模型、推理/RL,False
Zijun Liu,3,2,基座模型、推理/RL,False
Chenyu Zhang,2,2,基座模型、推理/RL,False
Han Bao,2,2,基座模型、推理/RL,False
Han Zhang,2,2,基座模型、系统,False
Hao Yang,2,2,基座模型、多模态,False
Haoyu Lu,2,2,基座模型、多模态,False
Jingxiang Sun,2,2,基座模型、多模态,False
Tongzheng Ren,2,2,基座模型、多模态,False
Wang Zihan,2,2,基座模型、系统,False
Wenqin Yu,2,2,基座模型、推理/RL,False
Yujia He,2,2,基座模型、推理/RL,False
Zhizhou Ren,2,2,基座模型、数学,False
Ziyang Song,2,2,基座模型、推理/RL,False
Yuqing Wang,3,1,系统,False
Bangcai Lin,2,1,基座模型,False
Bingzheng Xu,2,1,基座模型,False
Bowei Zhang,2,1,基座模型,False
Chaofan Lin,2,1,基座模型,False
Chen Dong,2,1,基座模型,False
Chengyue Wu,2,1,多模态,False
Chenhao Xu,2,1,基座模型,False
Hao Li,2,1,基座模型,False
Haofen Liang,2,1,基座模型,False
Haowen Luo,2,1,基座模型,False
Haozhe Ji,2,1,基座模型,False
Hui Zeng,2,1,基座模型,False
Jialiang Huang,2,1,基座模型,False
Jiaxin Xu,2,1,基座模型,False
Jingting Xiang,2,1,基座模型,False
Jingyuan Cheng,2,1,基座模型,False
Jinhua Zhu,2,1,基座模型,False
Jun Ran,2,1,基座模型,False
Junguang Jiang,2,1,基座模型,False
Kexing Zhou,2,1,基座模型,False
Lei Wang,2,1,基座模型,False
Lihua Guo,2,1,基座模型,False
Lingxiao Luo,2,1,基座模型,False
Linwang Ma,2,1,基座模型,False
M. S. Di,2,1,基座模型,False
M. Y Xu,2,1,基座模型,False
Mingxu Zhou,2,1,基座模型,False
Peixin Cong,2,1,基座模型,False
Qingyang Li,2,1,基座模型,False
Ruiling Xu,2,1,基座模型,False
Runqiu Yin,2,1,基座模型,False
Ruomeng Shen,2,1,基座模型,False
S. H. Liu,2,1,基座模型,False
Shaofei Cai,2,1,基座模型,False
Shengyu Liu,2,1,基座模型,False
Shiqiang Hu,2,1,基座模型,False
Songyang Zhou,2,1,基座模型,False
Tao Ni,2,1,基座模型,False
Tianyuan Yue,2,1,基座模型,False
Wang Yongji,2,1,基座模型,False
Wenjie Pang,2,1,基座模型,False
Wenjing Luo,2,1,基座模型,False
Xi Gao,2,1,基座模型,False
Xiangwen Wang,2,1,基座模型,False
Xingyou Li,2,1,基座模型,False
Xu Chen,2,1,基座模型,False
Xuwei Fu,2,1,基座模型,False
Yanru Ma,2,1,基座模型,False
Yi Qian,2,1,基座模型,False
Yifan Ding,2,1,基座模型,False
Ying Zhou,2,1,基座模型,False
Yixiao Chen,2,1,基座模型,False
Yonglun Yang,2,1,基座模型,False
Yuan Cheng,2,1,基座模型,False
Yuanfan Xu,2,1,基座模型,False
Yuhan Wu,2,1,基座模型,False
Zehua Zhao,2,1,基座模型,False
Zhixian Huang,2,1,基座模型,False
Zhuping Zhang,2,1,基座模型,False
Zian Xu,2,1,基座模型,False
Zihao Wang,2,1,基座模型,False
Zipeng Zhang,2,1,基座模型,False
Zongqing Yao,2,1,基座模型,False
A. X. Liu,1,1,基座模型,False
Anyi Xu,1,1,基座模型,False
Aoxue Mei,1,1,基座模型,False
B. Zhang,1,1,基座模型,False
Bo Zhang,1,1,多模态,False
Chenze Shao,1,1,基座模型,False
Conner Sun,1,1,基座模型,False
Dong Yixin,1,1,基座模型,False
Donghao Li,1,1,基座模型,False
Dongyan Zhao,1,1,系统,False
Fangqi Zhou,1,1,基座模型,False
Fangzhou Yuan,1,1,基座模型,False
Feiyu Xia,1,1,基座模型,False
Guoai Cao,1,1,基座模型,False
Guolai Meng,1,1,基座模型,False
Han Yu,1,1,基座模型,False
Haoling Zhang,1,1,基座模型,False
Haoming Luo,1,1,基座模型,False
Haotian Yuan,1,1,基座模型,False
Haoyu Chen,1,1,基座模型,False
Huishuai Zhang,1,1,系统,False
J. Q. Zhu,1,1,基座模型,False
J. Yang,1,1,基座模型,False
Jia Yu,1,1,基座模型,False
Jiang Chang,1,1,系统,False
Jiasheng Ye,1,1,基座模型,False
Jin Yan,1,1,基座模型,False
Jingli Zhou,1,1,基座模型,False
Jiping Yu,1,1,基座模型,False
Joseph Sun,1,1,基座模型,False
Junyu Luo,1,1,系统,False
Li Zhang,1,1,基座模型,False
Liangsheng Yin,1,1,基座模型,False
Liyu Cai,1,1,基座模型,False
Longhao Chen,1,1,基座模型,False
Max Mei,1,1,基座模型,False
Ming Zhang,1,1,系统,False
Mingxing Zhang,1,1,系统,False
Peng Li,1,1,推理/RL,False
Ping Luo,1,1,多模态,False
Qiwei Jiang,1,1,基座模型,False
Rilin Huang,1,1,系统,False
Rui Tian,1,1,基座模型,False
Ruifan Xu,1,1,基座模型,False
Ruijie Lu,1,1,基座模型,False
Runqian Chen,1,1,基座模型,False
Shaoheng Nie,1,1,基座模型,False
Shuying Yu,1,1,基座模型,False
Tian Jin,1,1,基座模型,False
Tianle Lin,1,1,基座模型,False
Tianran Ji,1,1,基座模型,False
Tianyi Cui,1,1,基座模型,False
Tingting Yu,1,1,基座模型,False
Tong Wu,1,1,基座模型,False
Tun Wang,1,1,基座模型,False
W. Zhang,1,1,基座模型,False
Weilin Zhao,1,1,基座模型,False
Wenda Li,1,1,数学,False
Wenjie Hu,1,1,基座模型,False
Wenjing Yao,1,1,基座模型,False
Wenkai Yang,1,1,基座模型,False
Wenlve Huang,1,1,基座模型,False
Wenting Ma,1,1,基座模型,False
Xiang He,1,1,基座模型,False
Xiaodan Liang,1,1,数学,False
Xin Jin,1,1,系统,False
Xingchen Liu,1,1,基座模型,False
Xuanyu Wang,1,1,基座模型,False
Xuehai Pan,1,1,基座模型,False
Y. C. Yan,1,1,基座模型,False
Y. W. Ma,1,1,基座模型,False
Yanfeng Luo,1,1,基座模型,False
Yang Liu,1,1,推理/RL,False
Yanwen Huang,1,1,基座模型,False
Yijia Wu,1,1,基座模型,False
Yingfei Xiong,1,1,代码,False
Yingjia Luo,1,1,基座模型,False
Yixiang Zhang,1,1,基座模型,False
Yuanhao Li,1,1,基座模型,False
Yuhao Meng,1,1,基座模型,False
Yupeng Chen,1,1,基座模型,False
Yuqian Cao,1,1,基座模型,False
Yuqian Wang,1,1,基座模型,False
Yushun Zhang,1,1,基座模型,False
Yutong Lin,1,1,基座模型,False
Yuxian Gu,1,1,基座模型,False
Yuxuan Zhou,1,1,基座模型,False
Yuzhen Huang,1,1,基座模型,False
Zehao Wang,1,1,基座模型,False
Zhao Yilong,1,1,基座模型,False
Zheng Size,1,1,基座模型,False
Zhifang Sui,1,1,系统,False
Zhiping Xiao,1,1,系统,False
Zhixuan Chen,1,1,基座模型,False
