author,paper_count,topic_count,community,cluster_label,degree_in_demo,weighted_degree_in_demo,is_cross_direction_hub,is_labeled
Jiawei Wang,3,3,1,基模大兵团,2,0.10376871450696953,False,False
Jiewen Hu,3,2,6,垂类数学小队,3,0.4004797441364606,False,False
Jingchang Chen,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Jingxiang Sun,2,2,1,基模大兵团,2,0.16638655462184873,False,False
Jingyang Yuan,7,3,2,系统效率小队,2,0.3108203589550479,False,False
Junjie Qiu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Junlong Li,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Junxiao Song,10,4,3,数学与推理小队,2,0.5815081077387719,False,False
Kai Dong,10,4,4,多模态小队,2,0.45387936393355754,False,False
Kai Hu,3,3,1,基模大兵团,2,0.10376871450696953,False,False
Kaige Gao,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Kang Guan,8,4,1,基模大兵团,2,0.21578412583831943,False,False
Kexin Huang,3,2,1,基模大兵团,2,0.03636944710770214,False,False
Kezhao Huang,3,2,2,系统效率小队,2,0.17083264993712755,False,False
Kuai Yu,5,3,1,基模大兵团,2,0.14909529156960313,False,False
Lean Wang,7,3,2,系统效率小队,2,0.3108203589550479,False,False
Lecong Zhang,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Liang Zhao,8,4,2,系统效率小队,2,0.3877434358781248,False,False
Litong Wang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Liyue Zhang,11,5,5,缓存与系统小队,9,1.419482542953543,True,True
Mingchuan Zhang,7,3,2,系统效率小队,2,0.28622946996787413,False,False
Minghua Zhang,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Minghui Tang,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Panpan Huang,9,3,5,缓存与系统小队,8,1.0984763882438209,True,True
Peiyi Wang,9,4,2,系统效率小队,3,0.7808552962786174,True,True
Qiancheng Wang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Qihao Zhu,12,4,3,数学与推理小队,8,2.3545963282949987,True,True
Qinyu Chen,7,4,2,系统效率小队,2,0.2691777909966905,False,False
Qiushi Du,8,4,3,数学与推理小队,2,0.26386104891524254,False,False
Ruiqi Ge,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Ruisong Zhang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Ruizhe Pan,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Runji Wang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Runxin Xu,11,5,2,系统效率小队,4,1.5509363835447705,True,True
Ruoyu Zhang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Shanghao Lu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Shangyan Zhou,9,3,5,缓存与系统小队,2,0.3957532794916836,False,False
Shanhuang Chen,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Shaoyuan Chen,3,2,5,缓存与系统小队,2,0.18365316275764035,False,False
Shengding Hu,3,2,1,基模大兵团,2,0.12224965398571053,False,False
Shengfeng Ye,3,2,1,基模大兵团,2,0.0457135621121945,False,False
Shirong Ma,11,5,6,垂类数学小队,6,1.1700352705822725,True,True
Shiyu Wang,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Shuiping Yu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Shunfeng Zhou,7,3,5,缓存与系统小队,2,0.25289613663454075,False,False
Shuting Pan,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Tao Yun,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Tian Pei,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Tian Ye,3,2,6,垂类数学小队,2,0.26698649609097375,False,False
Tongzheng Ren,2,2,1,基模大兵团,2,0.16638655462184873,False,False
Wang Yongji,2,1,1,基模大兵团,2,0.042397336293007765,False,False
Wang Zihan,2,2,2,系统效率小队,2,0.4188679245283019,False,False
Wangding Zeng,10,4,2,系统效率小队,2,0.6422980917485702,False,False
Wanjia Zhao,4,3,3,数学与推理小队,2,0.269492696407422,False,False
Wen Liu,10,3,4,多模态小队,8,2.3129360741114984,True,True
Wenfeng Liang,13,4,2,系统效率小队,4,1.4691577004115983,True,True
Wenjun Gao,9,4,3,数学与推理小队,2,0.381508107738772,False,False
Wentao Zhang,8,4,3,数学与推理小队,2,0.25289613663454075,False,False
Xiao Bi,9,4,3,数学与推理小队,2,0.5055277155819091,False,False
Xiaodong Liu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Xiaohan Wang,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Xiaokang Chen,8,3,4,多模态小队,2,0.6253374208405308,False,False
Xiaokang Zhang,5,3,6,垂类数学小队,2,0.2938321336748664,False,False
Xiaotao Nie,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Xin Cheng,5,3,2,系统效率小队,2,0.19767828752102015,False,False
Xin Liu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Xin Xie,8,4,1,基模大兵团,2,0.21578412583831943,False,False
Xingchao Liu,7,3,4,多模态小队,2,0.6064694963122289,False,False
Xingkai Yu,11,4,4,多模态小队,2,0.8507899095283136,False,False
Xinyu Yang,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Xinyuan Li,3,2,1,基模大兵团,2,0.03636944710770214,False,False
Xuan Lu,3,3,3,数学与推理小队,2,0.1964995034756703,False,False
Xuecheng Su,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Xuheng Lin,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Y. Q. Wang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Y. X. Wei,5,3,2,系统效率小队,2,0.3314278478264802,False,False
Yang Zhang,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Yanhong Xu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yao Li,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yao Zhao,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yaofeng Sun,10,4,7,OCR视觉小队,2,2.0900695214909626,False,False
Yaohui Wang,7,3,1,基模大兵团,2,0.13886104891524248,False,False
Yi Yu,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Yichao Zhang,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yifan Shi,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Yiliang Xiong,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Ying He,7,3,1,基模大兵团,2,0.2290866128250169,False,False
Yinmin Zhong,3,2,5,缓存与系统小队,2,0.18365316275764035,False,False
Yishi Piao,8,4,1,基模大兵团,2,0.21578412583831943,False,False
Yisong Wang,5,3,1,基模大兵团,2,0.12075521059794322,False,False
Yixuan Tan,6,3,5,缓存与系统小队,2,0.22936672486983486,False,False
Yixuan Wei,3,2,1,基模大兵团,2,0.12224965398571053,False,False
Yiyang Ma,6,3,4,多模态小队,2,0.32075521059794326,False,False
Yiyuan Liu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yongqiang Guo,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Yongtong Wu,3,2,5,缓存与系统小队,2,0.18365316275764035,False,False
Yu Wu,13,6,2,系统效率小队,5,1.6302690672466562,True,True
Yuan Ou,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Yuduan Wang,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Yue Gong,3,2,1,基模大兵团,2,0.03636944710770214,False,False
Yuheng Zou,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Yukun Li,14,7,7,OCR视觉小队,3,2.271645794936438,True,True
Yunfan Xiong,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Yuqing Wang,3,1,2,系统效率小队,2,0.39097744360902253,False,False
Yuxiang Luo,5,3,6,垂类数学小队,2,0.2938321336748664,False,False
Yuxiang You,8,4,1,基模大兵团,2,0.21578412583831943,False,False
Yuxuan Liu,8,4,5,缓存与系统小队,2,0.4310473971387424,False,False
Yuyang Zhou,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Z. F. Wu,6,3,3,数学与推理小队,2,0.28647919249839576,False,False
Z. Z. Ren,7,3,3,数学与推理小队,2,0.5384504681953824,False,False
Zehui Ren,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Zhangli Sha,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Zhe Fu,7,3,3,数学与推理小队,2,0.2038765287914035,False,False
Zhean Xu,5,3,1,基模大兵团,2,0.14909529156960313,False,False
Zhenda Xie,16,5,4,多模态小队,7,2.722344883850351,True,True
Zhengyan Zhang,6,3,2,系统效率小队,2,0.291952434426746,False,False
Zhewen Hao,8,4,2,系统效率小队,2,0.2927072027613964,False,False
Zhibin Gou,8,4,3,数学与推理小队,2,0.5590636386884978,False,False
Zhicheng Ma,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Zhigang Yan,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Zhihong Shao,12,4,3,数学与推理小队,6,1.8815138164301926,True,True
Zhiyu Wu,7,3,4,多模态小队,2,0.6064694963122289,False,False
Zhizhou Ren,2,2,3,数学与推理小队,2,0.2574626865671642,False,False
Zhuoshu Li,7,4,2,系统效率小队,2,0.46270005820316823,False,False
Zihui Gu,6,3,1,基模大兵团,2,0.1153316371505366,False,False
Zijia Zhu,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Zijun Liu,3,2,2,系统效率小队,2,0.31255992329817833,False,False
Zilin Li,5,2,1,基模大兵团,2,0.06270005820316821,False,False
Ziwei Xie,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Ziyi Gao,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Zizheng Pan,7,3,4,多模态小队,2,0.6064694963122289,False,False
